ogbn-arxiv,8192,nbr,10000000,
8192,nbr,10000000,0,Epoch 00000 | Loss 3.5741 | Accuracy 0.2811 
Epoch 00001 | Loss 2.8888 | Accuracy 0.3084 
Epoch 00002 | Loss 2.5917 | Accuracy 0.3959 
Epoch 00003 | Loss 2.3658 | Accuracy 0.4590 
Epoch 00004 | Loss 2.1976 | Accuracy 0.4949 
Epoch 00005 | Loss 2.0662 | Accuracy 0.5188 
Epoch 00006 | Loss 1.9692 | Accuracy 0.5333 
Epoch 00007 | Loss 1.8848 | Accuracy 0.5440 
Epoch 00008 | Loss 1.8168 | Accuracy 0.5511 
Epoch 00009 | Loss 1.7609 | Accuracy 0.5591 
Epoch 00010 | Loss 1.7287 | Accuracy 0.5643 
Epoch 00011 | Loss 1.7000 | Accuracy 0.5717 
Epoch 00012 | Loss 1.6655 | Accuracy 0.5686 
Epoch 00013 | Loss 1.6365 | Accuracy 0.5729 
Epoch 00014 | Loss 1.6185 | Accuracy 0.5803 
Epoch 00015 | Loss 1.5998 | Accuracy 0.5836 
Epoch 00016 | Loss 1.5806 | Accuracy 0.5832 
Epoch 00017 | Loss 1.5623 | Accuracy 0.5843 
Epoch 00018 | Loss 1.5448 | Accuracy 0.5876 
Epoch 00019 | Loss 1.5364 | Accuracy 0.5883 
Epoch 00020 | Loss 1.5260 | Accuracy 0.5926 
Epoch 00021 | Loss 1.5048 | Accuracy 0.5954 
Epoch 00022 | Loss 1.5046 | Accuracy 0.5956 
Epoch 00023 | Loss 1.4841 | Accuracy 0.5944 
Epoch 00024 | Loss 1.4837 | Accuracy 0.5961 
Epoch 00025 | Loss 1.4747 | Accuracy 0.5935 
Epoch 00026 | Loss 1.4609 | Accuracy 0.5979 
Epoch 00027 | Loss 1.4620 | Accuracy 0.5994 
Epoch 00028 | Loss 1.4482 | Accuracy 0.5965 
Epoch 00029 | Loss 1.4469 | Accuracy 0.6009 
Epoch 00030 | Loss 1.4385 | Accuracy 0.6030 
Epoch 00031 | Loss 1.4299 | Accuracy 0.6017 
Epoch 00032 | Loss 1.4262 | Accuracy 0.6011 
Epoch 00033 | Loss 1.4332 | Accuracy 0.6039 
Epoch 00034 | Loss 1.4191 | Accuracy 0.6025 
Epoch 00035 | Loss 1.4145 | Accuracy 0.6027 
Epoch 00036 | Loss 1.4120 | Accuracy 0.6017 
Epoch 00037 | Loss 1.4063 | Accuracy 0.6053 
Epoch 00038 | Loss 1.4061 | Accuracy 0.6037 
Epoch 00039 | Loss 1.3955 | Accuracy 0.6062 
Epoch 00040 | Loss 1.3936 | Accuracy 0.6019 
Epoch 00041 | Loss 1.3947 | Accuracy 0.6066 
Epoch 00042 | Loss 1.3872 | Accuracy 0.6032 
Epoch 00043 | Loss 1.3836 | Accuracy 0.6040 
Epoch 00044 | Loss 1.3852 | Accuracy 0.6070 
Epoch 00045 | Loss 1.3776 | Accuracy 0.6070 
Epoch 00046 | Loss 1.3727 | Accuracy 0.6062 
Epoch 00047 | Loss 1.3836 | Accuracy 0.6075 
Epoch 00048 | Loss 1.3661 | Accuracy 0.6070 
Epoch 00049 | Loss 1.3727 | Accuracy 0.6084 
Epoch 00050 | Loss 1.3634 | Accuracy 0.6101 
Epoch 00051 | Loss 1.3609 | Accuracy 0.6082 
Epoch 00052 | Loss 1.3531 | Accuracy 0.6088 
Epoch 00053 | Loss 1.3592 | Accuracy 0.6087 
Epoch 00054 | Loss 1.3594 | Accuracy 0.6060 
Epoch 00055 | Loss 1.3487 | Accuracy 0.6082 
Epoch 00056 | Loss 1.3518 | Accuracy 0.6094 
Epoch 00057 | Loss 1.3519 | Accuracy 0.6084 
Epoch 00058 | Loss 1.3447 | Accuracy 0.6068 
Epoch 00059 | Loss 1.3468 | Accuracy 0.6074 
Epoch 00060 | Loss 1.3461 | Accuracy 0.6066 
Epoch 00061 | Loss 1.3473 | Accuracy 0.6131 
Epoch 00062 | Loss 1.3431 | Accuracy 0.6107 
Epoch 00063 | Loss 1.3442 | Accuracy 0.6135 
Epoch 00064 | Loss 1.3379 | Accuracy 0.6118 
Epoch 00065 | Loss 1.3357 | Accuracy 0.6122 
Epoch 00066 | Loss 1.3366 | Accuracy 0.6108 
Epoch 00067 | Loss 1.3288 | Accuracy 0.6123 
Epoch 00068 | Loss 1.3363 | Accuracy 0.6121 
Epoch 00069 | Loss 1.3279 | Accuracy 0.6121 
Epoch 00070 | Loss 1.3263 | Accuracy 0.6125 
Epoch 00071 | Loss 1.3328 | Accuracy 0.6128 
Epoch 00072 | Loss 1.3271 | Accuracy 0.6114 
Epoch 00073 | Loss 1.3237 | Accuracy 0.6139 
Epoch 00074 | Loss 1.3226 | Accuracy 0.6134 
Epoch 00075 | Loss 1.3121 | Accuracy 0.6118 
Epoch 00076 | Loss 1.3143 | Accuracy 0.6118 
Epoch 00077 | Loss 1.3165 | Accuracy 0.6117 
Epoch 00078 | Loss 1.3224 | Accuracy 0.6146 
Epoch 00079 | Loss 1.3202 | Accuracy 0.6142 
Epoch 00080 | Loss 1.3157 | Accuracy 0.6135 
Epoch 00081 | Loss 1.3163 | Accuracy 0.6130 
Epoch 00082 | Loss 1.3185 | Accuracy 0.6120 
Epoch 00083 | Loss 1.3177 | Accuracy 0.6147 
Epoch 00084 | Loss 1.3074 | Accuracy 0.6158 
Epoch 00085 | Loss 1.3055 | Accuracy 0.6169 
Epoch 00086 | Loss 1.3058 | Accuracy 0.6143 
Epoch 00087 | Loss 1.3103 | Accuracy 0.6127 
Epoch 00088 | Loss 1.3073 | Accuracy 0.6144 
Epoch 00089 | Loss 1.2959 | Accuracy 0.6148 
Epoch 00090 | Loss 1.3097 | Accuracy 0.6139 
Epoch 00091 | Loss 1.3068 | Accuracy 0.6121 
Epoch 00092 | Loss 1.3088 | Accuracy 0.6158 
Epoch 00093 | Loss 1.3008 | Accuracy 0.6140 
Epoch 00094 | Loss 1.3006 | Accuracy 0.6133 
Epoch 00095 | Loss 1.2988 | Accuracy 0.6157 
Epoch 00096 | Loss 1.2988 | Accuracy 0.6156 
Epoch 00097 | Loss 1.3075 | Accuracy 0.6158 
Epoch 00098 | Loss 1.2991 | Accuracy 0.6166 
Epoch 00099 | Loss 1.2963 | Accuracy 0.6143 
Test Accuracy 0.5506
ogbn-arxiv,1024,nbr,10000000,
1024,nbr,10000000,0,Epoch 00000 | Loss 2.5635 | Accuracy 0.5136 
Epoch 00001 | Loss 1.8521 | Accuracy 0.5651 
Epoch 00002 | Loss 1.6628 | Accuracy 0.5793 
Epoch 00003 | Loss 1.5744 | Accuracy 0.5893 
Epoch 00004 | Loss 1.5186 | Accuracy 0.5940 
Epoch 00005 | Loss 1.4818 | Accuracy 0.5961 
Epoch 00006 | Loss 1.4513 | Accuracy 0.5948 
Epoch 00007 | Loss 1.4344 | Accuracy 0.6034 
Epoch 00008 | Loss 1.4163 | Accuracy 0.6041 
Epoch 00009 | Loss 1.4003 | Accuracy 0.6051 
Epoch 00010 | Loss 1.3879 | Accuracy 0.6046 
Epoch 00011 | Loss 1.3786 | Accuracy 0.6043 
Epoch 00012 | Loss 1.3710 | Accuracy 0.6050 
Epoch 00013 | Loss 1.3609 | Accuracy 0.6097 
Epoch 00014 | Loss 1.3540 | Accuracy 0.6070 
Epoch 00015 | Loss 1.3503 | Accuracy 0.6064 
Epoch 00016 | Loss 1.3401 | Accuracy 0.6108 
Epoch 00017 | Loss 1.3379 | Accuracy 0.6100 
Epoch 00018 | Loss 1.3361 | Accuracy 0.6127 
Epoch 00019 | Loss 1.3268 | Accuracy 0.6135 
Epoch 00020 | Loss 1.3254 | Accuracy 0.6126 
Epoch 00021 | Loss 1.3224 | Accuracy 0.6146 
Epoch 00022 | Loss 1.3160 | Accuracy 0.6113 
Epoch 00023 | Loss 1.3138 | Accuracy 0.6158 
Epoch 00024 | Loss 1.3085 | Accuracy 0.6143 
Epoch 00025 | Loss 1.3069 | Accuracy 0.6138 
Epoch 00026 | Loss 1.3085 | Accuracy 0.6185 
Epoch 00027 | Loss 1.3034 | Accuracy 0.6116 
Epoch 00028 | Loss 1.2980 | Accuracy 0.6150 
Epoch 00029 | Loss 1.2975 | Accuracy 0.6129 
Epoch 00030 | Loss 1.2962 | Accuracy 0.6153 
Epoch 00031 | Loss 1.2897 | Accuracy 0.6154 
Epoch 00032 | Loss 1.2901 | Accuracy 0.6191 
Epoch 00033 | Loss 1.2880 | Accuracy 0.6147 
