# Profling times.
2024-12-06 23:42:03,friendster,8192,nbr,12000000,0,(0.01966118812561035,0.001554250717163086),(0.01935100555419922,0.001531839370727539),(0.019321441650390625,0.0015954971313476562),(0.01919078826904297,0.0015416145324707031),(0.01928424835205078,0.0015778541564941406),
2024-12-06 23:43:31,friendster,1024,nbr,12000000,0,(0.10815906524658203,0.012513160705566406),(0.10663318634033203,0.012695789337158203),(0.10655665397644043,0.01250314712524414),(0.1069338321685791,0.0124664306640625),(0.10648608207702637,0.012441158294677734),
2024-12-06 23:54:27,twitter,8192,nbr,12000000,0,(0.01844191551208496,0.0016071796417236328),(0.017778873443603516,0.0015654563903808594),(0.017812490463256836,0.0015664100646972656),(0.017749786376953125,0.001592397689819336),(0.017856359481811523,0.0015749931335449219),
2024-12-06 23:55:38,twitter,1024,nbr,12000000,0,(0.10952639579772949,0.012004613876342773),(0.1083834171295166,0.011878252029418945),(0.10796403884887695,0.011847496032714844),(0.10751152038574219,0.011850118637084961),(0.10799956321716309,0.011753559112548828),
2024-12-07 00:05:24,ogbn-papers100M,8192,nbr,12000000,0,(0.021462440490722656,0.0017673969268798828),(0.021358489990234375,0.0018112659454345703),(0.021096229553222656,0.0017883777618408203),(0.021093368530273438,0.0017833709716796875),(0.020984888076782227,0.0017917156219482422),
2024-12-07 00:06:41,ogbn-papers100M,1024,nbr,12000000,0,(0.12251424789428711,0.012922286987304688),(0.12118959426879883,0.013072490692138672),(0.1211085319519043,0.012895822525024414),(0.12054634094238281,0.012967586517333984),(0.1198267936706543,0.012918949127197266),

# Profiled times using util.timer(), format (nfeat_fetch_dataloader, nfeat_fetch_train_loop, train)
2024-12-07 10:01:42,igb-large,8192,nbr,80449000,0,15.649917629063198,0.08579421043395996,26.168705544471734,13.70800112026935,0.0856175422668457,25.386111570596643,13.69435462391379,0.08601713180541992,25.400161790370987,
2024-12-07 10:07:17,igb-large,1024,nbr,80449000,0,33.73916163819964,0.6911516189575195,135.6624062283055,32.63307925274921,0.6902201175689697,133.8953415132767,32.6487862026391,0.6858930587768555,132.06206693685124,
2024-12-07 10:40:24,friendster,8192,nbr,12000000,0,1.0624650888442995,0.0017247200012207031,4.162575927257536,0.7299784669876096,0.0016360282897949219,3.234619326591493,0.7181619178056717,0.0016434192657470703,3.2387694034576424,0.717101088523864,0.0016810894012451172,3.2283786172866833,0.717098115324974,0.0016551017761230469,3.2299389133453373,
2024-12-07 10:41:51,friendster,1024,nbr,12000000,0,1.825997152507303,0.012089252471923828,5.625491034030908,1.4926736000776302,0.012303829193115234,4.714878210306164,1.4837693133354173,0.011987686157226562,4.740342143535606,1.4806812469959265,0.012092113494873047,4.76134140872955,1.4857812480330463,0.012056112289428711,4.772970625162122,
2024-12-07 10:49:57,twitter,8192,nbr,12000000,0,1.0699047080278399,0.0017137527465820312,3.164891228199004,0.6557286392450333,0.0016064643859863281,2.263238698482515,0.6472657301425937,0.0015997886657714844,2.267461820602418,0.6476286730766297,0.0016393661499023438,2.2612337799072257,0.6472682552337647,0.0016148090362548828,2.2574531197547913,
2024-12-07 10:51:07,twitter,1024,nbr,12000000,0,1.5803077784776665,0.012539148330688477,5.744767392635335,1.1566637760400764,0.012075662612915039,4.736819230556493,1.1549142408370963,0.012394189834594727,4.887299592018128,1.1563300483822816,0.012279987335205078,4.85198284626008,1.154511489033699,0.012248039245605469,4.881066718101511,
2024-12-07 10:56:36,ogbn-papers100M,8192,nbr,12000000,0,0.5079214705228807,0.0018134117126464844,3.1703602299690257,0.3671865593194961,0.0018782615661621094,2.197840157032012,0.3513364819288255,0.0018284320831298828,2.1981991972923276,0.34292016017436994,0.0017840862274169922,2.1898190431594866,0.3386320637464523,0.0018122196197509766,2.189797789096833,
2024-12-07 10:57:52,ogbn-papers100M,1024,nbr,12000000,0,0.9534332798719385,0.013474464416503906,5.072807176113122,0.8137772784829146,0.013893604278564453,4.261300451040273,0.8109580156207085,0.013469934463500977,4.182451999664307,0.8135150080323227,0.013364791870117188,4.04369177365303,0.8107461120486263,0.013313531875610352,4.133474045991902,

2024-12-07 15:40:30,friendster,8192,nbr,12000000,0,0.6308643817901611,0.0016849040985107422,4.555147886276245,0.6504032611846924,0.0016765594482421875,3.309446096420288,0.6516351699829102,0.001672983169555664,3.29264235496521,0.6517221927642822,0.001720428466796875,3.2900466918945312,0.651341438293457,0.001737356185913086,3.293264150619507,
2024-12-07 15:41:59,friendster,1024,nbr,12000000,0,1.4338059425354004,0.012052297592163086,5.757364988327026,1.4514143466949463,0.01221609115600586,4.695920944213867,1.4481854438781738,0.012179851531982422,4.734024286270142,1.4468960762023926,0.012053966522216797,4.743453741073608,1.4482078552246094,0.012207269668579102,4.758708715438843,
2024-12-07 15:48:22,twitter,8192,nbr,12000000,0,0.3205411434173584,0.0015630722045898438,3.8740227222442627,0.35119199752807617,0.0014960765838623047,2.5260486602783203,0.3517944812774658,0.001523733139038086,2.512661933898926,0.3528280258178711,0.0015587806701660156,2.5017294883728027,0.35242438316345215,0.0015401840209960938,2.5074048042297363,
2024-12-07 15:49:32,twitter,1024,nbr,12000000,0,0.8753647804260254,0.012232303619384766,5.830792665481567,0.905142068862915,0.0121307373046875,4.751325368881226,0.9127583503723145,0.012042999267578125,4.749279737472534,0.9092574119567871,0.01236271858215332,4.915714740753174,0.9071364402770996,0.011930704116821289,4.763840913772583,
2024-12-07 15:54:58,ogbn-papers100M,8192,nbr,12000000,0,0.3154902458190918,0.0018148422241210938,3.2403042316436768,0.3188047409057617,0.001804351806640625,2.193856954574585,0.32048535346984863,0.0018184185028076172,2.1929404735565186,0.3197927474975586,0.0017657279968261719,2.188127040863037,0.3202345371246338,0.0017621517181396484,2.18754506111145,
