Epoch 00100 | Loss 3.5920 | Accuracy 0.2320 
Epoch 00098 | Loss 2.7439 | Accuracy 0.3266 
Epoch 00097 | Loss 2.3866 | Accuracy 0.4183 
Epoch 00096 | Loss 2.0849 | Accuracy 0.4816 
Epoch 00095 | Loss 1.8513 | Accuracy 0.5234 
Epoch 00094 | Loss 1.6873 | Accuracy 0.5417 
Epoch 00093 | Loss 1.5974 | Accuracy 0.5496 
Epoch 00092 | Loss 1.5295 | Accuracy 0.5598 
Epoch 00091 | Loss 1.4869 | Accuracy 0.5670 
Epoch 00090 | Loss 1.4544 | Accuracy 0.5705 
Epoch 00089 | Loss 1.4309 | Accuracy 0.5782 
Epoch 00088 | Loss 1.4079 | Accuracy 0.5772 
Epoch 00087 | Loss 1.3832 | Accuracy 0.5821 
Epoch 00086 | Loss 1.3673 | Accuracy 0.5828 
Epoch 00085 | Loss 1.3500 | Accuracy 0.5826 
Epoch 00084 | Loss 1.3457 | Accuracy 0.5827 
Epoch 00083 | Loss 1.3295 | Accuracy 0.5892 
Epoch 00082 | Loss 1.3205 | Accuracy 0.5827 
Epoch 00081 | Loss 1.3212 | Accuracy 0.5847 
Epoch 00080 | Loss 1.3105 | Accuracy 0.5906 
Epoch 00079 | Loss 1.2953 | Accuracy 0.5972 
Epoch 00078 | Loss 1.2923 | Accuracy 0.5939 
Epoch 00077 | Loss 1.2936 | Accuracy 0.5911 
Epoch 00076 | Loss 1.2775 | Accuracy 0.5888 
Epoch 00075 | Loss 1.2737 | Accuracy 0.5858 
Epoch 00074 | Loss 1.2761 | Accuracy 0.6014 
Epoch 00073 | Loss 1.2686 | Accuracy 0.6016 
Epoch 00072 | Loss 1.2667 | Accuracy 0.5990 
Epoch 00071 | Loss 1.2528 | Accuracy 0.5919 
Epoch 00070 | Loss 1.2481 | Accuracy 0.5967 
Epoch 00069 | Loss 1.2440 | Accuracy 0.5965 
Epoch 00068 | Loss 1.2403 | Accuracy 0.6030 
Epoch 00067 | Loss 1.2318 | Accuracy 0.5988 
Epoch 00066 | Loss 1.2415 | Accuracy 0.6012 
Epoch 00065 | Loss 1.2342 | Accuracy 0.5959 
Epoch 00064 | Loss 1.2287 | Accuracy 0.5935 
Epoch 00063 | Loss 1.2279 | Accuracy 0.5992 
Epoch 00062 | Loss 1.2133 | Accuracy 0.5997 
Epoch 00061 | Loss 1.2173 | Accuracy 0.6011 
Epoch 00060 | Loss 1.2167 | Accuracy 0.6058 
Epoch 00059 | Loss 1.2080 | Accuracy 0.6031 
